"HGNC_ID","Approved_Symbol"
"HGNC:1","A12M1"
"HGNC:10","A2MRAP"
"HGNC:100","ASIC1"
"HGNC:1000","BCL5"
"HGNC:10000","RGS4"
"HGNC:10001","RGS5"
"HGNC:10002","RGS6"
"HGNC:10003","RGS7"
"HGNC:10004","RGS9"
"HGNC:10005","RH"
"HGNC:10006","RHAG"
"HGNC:10007","RHBDL1"
"HGNC:10008","RHCE"
"HGNC:10009","RHD"
"HGNC:1001","BCL6"
"HGNC:10010","RHEBP1"
"HGNC:10011","RHEB"
"HGNC:10012","RHO"
"HGNC:10013","GRK1"
"HGNC:10014","RIEG1"
"HGNC:10015","RIEG2"
"HGNC:10016","RIMKLP"
"HGNC:10017","RIT2"
"HGNC:10018","RING1"
"HGNC:10019","RIPK1"
"HGNC:1002","BCL6B"
"HGNC:10020","RIPK2"
"HGNC:10021","RIPK3"
"HGNC:10022","RIR"
"HGNC:10023","RIT1"
"HGNC:10024","RLBP1"
"HGNC:10025","RLF"
"HGNC:10026","RLN1"
"HGNC:10027","RLN2"
"HGNC:10028","RLNL"
"HGNC:10029","RMCH"
"HGNC:1003","BCL7"
"HGNC:10030","RMD1"
"HGNC:10031","RMRP"
"HGNC:10032","RMSA1"
"HGNC:10033","RN5S"
"HGNC:10034","RN5S1@"
"HGNC:10035","RN5S2@"
"HGNC:10036","RN5S3@"
"HGNC:10037","RN7SK"
"HGNC:10038","RN7SL1"
"HGNC:10039","RN7SL4P"
"HGNC:1004","BCL7A"
"HGNC:10040","RN7SL5P"
"HGNC:10041","RN7SL6P"
"HGNC:10042","RN7SL7P"
"HGNC:10043","RN7SL8P"
"HGNC:10044","RNASE1"
"HGNC:10045","RNASE2"
"HGNC:10046","RNASE3"
"HGNC:10047","RNASE4"
"HGNC:10048","RNASE6"
"HGNC:10049","RNASEH1P1"
"HGNC:1005","BCL7B"
"HGNC:10050","RNASEL"
"HGNC:10051","RNASEL1"
"HGNC:10052","RNE1"
"HGNC:10053","RNE2"
"HGNC:10054","RNE3"
"HGNC:10055","RNF10"
"HGNC:10056","RNF11"
"HGNC:10057","RNF13"
"HGNC:10058","RNF14"
"HGNC:10059","TRIM38"
"HGNC:1006","BCL7C"
"HGNC:10060","RNF17"
"HGNC:10061","RNF2"
"HGNC:10062","RNF20"
"HGNC:10063","TRIM34"
"HGNC:10064","TRIM3"
"HGNC:10065","TRIM39"
"HGNC:10066","PCGF3"
"HGNC:10067","RNF4"
"HGNC:10068","RNF5"
"HGNC:10069","RNF6"
"HGNC:1007","NBEAP1"
"HGNC:10070","RNF7"
"HGNC:10071","RNF8"
"HGNC:10072","TRIM10"
"HGNC:10073","RNGTT"
"HGNC:10074","RNH1"
"HGNC:10075","RNMT"
"HGNC:10076","RNN"
"HGNC:10077","RNNL"
"HGNC:10078","RNPEP"
"HGNC:10079","RNPEPL1"
"HGNC:1008","BCL9"
"HGNC:10080","RNPS1"
"HGNC:10081","RNPU1Z"
"HGNC:10082","RNR1"
"HGNC:10083","RNR2"
"HGNC:10084","RNR3"
"HGNC:10085","RNR4"
"HGNC:10086","RNR5"
