"nr","label","producer","propertyNum1","propertyNum3"
"1","panache chewed","1","831","735"
"10","blotchy unicyclist pleasantly","1","133","1580"
"100","picketed","3","1066","1936"
"1000","ohms","22","831","727"
"10000","arizonian","206","1053","677"
"10001","spreadsheet incas","206","52","484"
"10002","paymasters undoubted pashes","206","659","733"
"10003","tuxes casted","206","1575","1002"
"10004","hup momentously reengaged","206","1062","802"
"10005","planking","206","402","1445"
"10006","wrapt defenses bicolors","206","118","753"
"10007","bugles","206","443","286"
"10008","afterburners ailurophobe cynical","206","437","542"
"10009","excreting","206","1444","500"
"1001","unabsorbent explicated","22","220","985"
"10010","menstrual","206","1258","102"
"10011","misbehaving dispossessed","206","1515","928"
"10012","flamboyancy","206","75","276"
"10013","ostracods","206","1196","400"
"10014","aflatoxin millennial","206","1307","1175"
"10015","asthmas","206","137","545"
"10016","voyageurs driftway","206","1844","1809"
"10017","berceuses frowardness toilful","206","450","542"
"10018","stripings bumpy","206","236","1025"
"10019","unum toughs","206","403","1066"
"1002","camped grandtotal","22","1409","1429"
"10020","hunkered literati","206","442","523"
"10021","oilstone garlands alliterations","206","1094","776"
"10022","craniums ogees","206","131","1723"
"10023","ingots sneezy teargases","206","45","1384"
"10024","vowelizes","206","1773","1747"
"10025","mishears engraining","206","745","894"
"10026","senseless assiduously","206","1181","224"
"10027","woefully heliographs","206","554","939"
"10028","victualer musculatures","206","1195","389"
"10029","sheeny","206","1079","1481"
"1003","unfortunates","22","266","1071"
"10030","repellents","206","1601","384"
"10031","confusingly","206","1128","346"
"10032","desiccatory decisiveness","207","176","307"
"10033","skinheads telephoning slapper","207","1144","787"
"10034","jiminy","207","1186","44"
"10035","annattos advertisers shipwrights","207","1124","115"
"10036","reprocessing matt abaft","207","836","1517"
"10037","lexicographer supernovas","207","976","599"
"10038","pathogens","207","351","754"
"10039","clotured frets","207","917","408"
"1004","infarcts","22","1362","644"
"10040","telecasters barkentine daubery","207","214","1396"
"10041","recreating ropewalks crumblings","207","647","159"
"10042","sexologies muskets laminator","207","1516","836"
"10043","delicto","207","1409","1941"
"10044","advantaged questions","207","483","641"
"10045","quids","207","597","302"
"10046","alertest enlists unpoetic","207","744","475"
"10047","martially circularizing","207","628","45"
"10048","exculpations","207","904","63"
"10049","wheedles","207","764","605"
"1005","poisoner freely","22","479","122"
"10050","thirties","207","870","156"
"10051","abandoned","207","441","636"
"10052","plinks","207","1200","1019"
"10053","peripherals neatest copyists","207","1524","642"
"10054","heehawing","207","337","657"
"10055","atoll cymbalists qui","207","501","1172"
"10056","misconception lorn brawlier","207","824","1476"
"10057","contractile kepis","207","305","1417"
"10058","looking hyphenation","207","222","567"
"10059","alcazars dandles","207","707","489"
"1006","overattentive","22","1462","93"
"10060","procedurals almshouse","207","887","646"
"10061","dyspepsia hummer consolidated","207","774","1381"
"10062","florists","207","739","199"
"10063","praying harriers discredited","207","981","1357"
"10064","scanners dehorning","207","417","1019"
"10065","nutters dollish weightier","207","615","699"
"10066","erectly dupers","207","44","777"
"10067","irrevocableness","207","578","1282"
"10068","dietetically","207","318","1100"
"10069","preshape activeness dreidels","207","234","647"
"1007","biophysiography adorer bowshots","22","599","1000"
"10070","pharyngectomy donatives","207","165","1296"
"10071","transferer jiff","207","254","1165"
"10072","parricide","207","884","982"
"10073","hypochondriac psalming","207","397","699"
"10074","unsteadier","207","1124","842"
"10075","hypnotics crating","208","323","129"
"10076","blitzkrieged odalisks catalyzers","208","617","96"
"10077","tripper","208","8","1556"
"10078","tuner reelects","208","590","301"
"10079","recognized archangels yodling","208","1023","507"
"1008","modules involutions","22","531","512"
"10080","disclosed terming","208","223","1435"
"10081","puncturing crackers","208","75","84"
"10082","numbly burgundies","208","861","1499"
"10083","minify misdefined","208","1813","1277"
"10084","defoliants","208","1170","440"
"10085","patterning jugular choirs","208","529","969"
"10086","decorums hungerless","208","860","274"
