"route_id","route_short_name","route_long_name"
"4__10___","10","Hospital del Norte-Puerta del Sur"
"4__11___","11","Plaza Elíptica-La Fortuna"
"4__12___","12","MetroSur"
"4__1___","1","Pinar de Chamartín-Valdecarros"
"4__2___","2","Las Rosas-Cuatro Caminos"
"4__3___","3","Villaverde Alto-Moncloa"
"4__4___","4","Pinar de Chamartín-Argüelles"
"4__5___","5","Alameda de Osuna-Casa de Campo"
"4__6___","6","Circular"
"4__7___","7","Hospital del Henares-Pitis"
"4__8___","8","Nuevos Ministerios - Aeropuerto T4"
"4__9___","9","Paco de Lucía-Arganda del Rey"
"4__R___","R","Opera-Príncipe Pío"
